id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
376763,2013-08-24,2013-08-24,,Pacific Time (US & Canada),8778,gyrrlfalcon,2013-08-25 03:20:12 UTC,2016-02-28 04:09:15 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/376763,https://static.inaturalist.org/photos/471014/medium.JPG?1377400819,,"",Bio-Blitz Beach Team. Dog footprint above.,1,0,true,,"Fort Funston, San Francisco, California",37.714025,-122.503929,,,,false,,,Domestic Dog,Canis familiaris,Domestic Dog,Mammalia,47144
376765,2013-08-24,2013-08-24,,Pacific Time (US & Canada),8778,gyrrlfalcon,2013-08-25 03:21:30 UTC,2020-09-21 00:57:37 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/376765,https://static.inaturalist.org/photos/471017/medium.JPG?1377400902,,"","Bio-Blitz Beach Team. First picture, lower footprint is human with shoes on. Second picture shows the rare but locally fairly common wingéd subspecies.",3,0,true,,"Fort Funston, San Francisco, California",37.714025,-122.503929,,,open,false,,,Homo sapiens,Homo sapiens,Human,Mammalia,43584
396028,2013-09-13,2013-09-13,,Chihuahua,6578,baedu,2013-09-13 14:24:40 UTC,2014-07-01 12:53:59 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/396028,https://static.inaturalist.org/photos/497140/medium.jpg?1379175351,,"",Footprints,0,0,false,,"Limón, CR",10.461740748,-83.4776469392,519,,obscured,true,,,Jaguar,Panthera onca,Jaguar,Mammalia,41970
427532,2012-04-29 13:41:55,2012-04-29,2012-04-29 11:41:55 UTC,Rome,24204,alessandro_gentilini,2013-10-13 19:31:17 UTC,2020-08-22 09:27:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/427532,https://static.inaturalist.org/photos/538474/medium.JPG?1381692681,,"","Found on the track that goes to Rifugio Odle (Geisleralm). The Newt was in the snow in the track. The snow was about 20 cm high. The day before (saturday 28 april 2012) was a sunny and warm day.

The Newt was trying to get out of a man footprint made in the snow, it was very slow.",6,0,false,,"Val di Funes (BZ), Italia",46.628928,11.749142,1000,,open,false,,,Alpine Newt,Ichthyosaura alpestris,Alpine Newt,Amphibia,135104
480650,Thu Nov 21 2013 14:46:13 GMT-0800 (PST),2013-11-21,2013-11-21 22:46:13 UTC,Pacific Time (US & Canada),18790,baccharis,2013-12-12 23:50:25 UTC,2020-09-21 00:51:18 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/480650,https://static.inaturalist.org/photos/607241/medium.jpg?1386892237,,"",Camouflaged in a big footprint in sand,5,1,true,3,"1191–1199 Great Hwy, San Francisco, CA, US",37.764074,-122.512874,5,,open,false,,,Human,Homo sapiens,Human,Mammalia,43584
512978,vie oct 18 2013 12:48:58 GMT-0500 (GMT-05:00),2013-10-18,2013-10-18 17:48:58 UTC,Bogota,28848,valeriapanthera,2014-01-27 15:57:24 UTC,2020-04-19 18:09:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/512978,https://static.inaturalist.org/photos/653090/medium.jpg?1390838296,,"",Footprint ,1,0,false,3,"Chiapas, MX",16.0632573242,-90.9954702957,4886,,obscured,true,,,Jaguar,Panthera onca,Jaguar,Mammalia,41970
532602,10/7/2011 9:49,2011-10-07,2011-10-07 16:49:00 UTC,Pacific Time (US & Canada),21318,danielgeorge,2014-02-16 04:29:26 UTC,2014-10-20 16:22:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/532602,https://static.inaturalist.org/photos/677405/medium.jpg?1392526116,,"","""Bleached earless lizard. Very inactive, but alive, in footprint depression at edge of interdune plain""",1,0,false,,White Sands National Monument Visitor Center to Main Trail New Mexico,32.827478,-106.287618,800,,,false,,"",Lesser Earless Lizard,Holbrookia maculata,Western Earless Lizard,Reptilia,36343
636287,2014-04-21,2014-04-21,,Eastern Time (US & Canada),35830,kmoconnor,2014-04-21 19:39:52 UTC,2017-11-09 19:33:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/636287,https://scontent-b.xx.fbcdn.net/hphotos-ash4/t1.0-9/p600x600/10153164_10201487983711364_9047131641799339436_n.jpg,,"",We saw fresh footprints in the mud along the stream and up on the trail. ,1,0,false,,"14712 deepwoods lane, nokesville, va",38.623344,-77.53641,,,,false,,,Raccoon,Procyon lotor,Common Raccoon,Mammalia,41663
647612,2014-04-28,2014-04-28,,Eastern Time (US & Canada),13594,bheitzman,2014-04-29 00:05:46 UTC,2018-07-01 13:16:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/647612,https://static.inaturalist.org/photos/823302/medium.JPG?1398989240,,"","24-30 inches long, very dark brown fur, foraging long the river.  No footprints were found upon examination.",2,0,false,,"Runnals Rd, Hartford, VT",43.67712,-72.388334,56,,,false,,,American Mink,Neovison vison,American Mink,Mammalia,74758
714745,2014-05-02,2014-05-02,,Berlin,5643,jakob,2014-06-03 15:53:44 UTC,2019-02-22 05:27:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/714745,https://static.inaturalist.org/photos/898009/medium.JPG?1401810835,,"ecosystem services, seed dispersal, ephermeral ponds","1st picture illustrates how important forest elephants are for seed dispersal (a large number of plants exclusively depends on them!): a lot of seedlings sprouting from old elephant dung.

2nd picture shows water-filled footprints, probably an important resource for species breeding in these ephemeral and tiny ponds.",2,0,false,,"Boumba et Ngoko, CM-ES, CM",2.5773948075,15.6526425045,2133,obscured,obscured,true,,,African Forest Elephant,Loxodonta cyclotis,Forest Elephant,Mammalia,357910
815202,2014-07-27,2014-07-27,,Pacific Time (US & Canada),16101,dpom,2014-08-03 22:07:21 UTC,2014-10-19 04:18:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/815202,https://static.inaturalist.org/photos/1028164/medium.JPG?1407103650,,"",fresh footprints in the mud along Elkhorn Slough,1,0,false,,Moss Landing,36.821547,-121.739826,425,,,false,,,Raccoon,Procyon lotor,Common Raccoon,Mammalia,41663
835542,2011-05-08,2011-05-08,,Pacific Time (US & Canada),27247,lgordon,2014-08-18 00:01:04 UTC,2018-01-13 00:57:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/835542,https://static.inaturalist.org/photos/1056492/medium.JPG?1408320069,,"","Acknowledgement: this animal should not have been held.

@10am thousands of toadlets and froglets hunkering in coyote footprints in mud. Many dessicated seen nearby. This animal seen hopping around footprints. In annual flood area. Regular herpers have not seen any amphibians in this specific area since- as of 5-2014",6,0,false,,,,,1794,private,,true,,,Baja California Treefrog,Pseudacris hypochondriaca,Baja California Tree Frog,Amphibia,120719
835545,2011-05-08,2011-05-08,,Pacific Time (US & Canada),27247,lgordon,2014-08-18 00:05:08 UTC,2018-01-13 00:57:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/835545,https://static.inaturalist.org/photos/1056499/medium.JPG?1408320314,,"",@10am thousands of toadlets and froglets hunkering in coyote footprints in mud in area. Many dessicated seen nearby. This (perhaps previous year's juvenile) seen actively hopping around near the footprints. In annual flood area. Regular herpers have not seen any amphibians in this specific area since- as of 5-2014,1,0,false,,,,,1794,private,,true,,,Western Toad,Anaxyrus boreas,Western Toad,Amphibia,64970
835549,2011-05-08,2011-05-08,,Pacific Time (US & Canada),27247,lgordon,2014-08-18 00:08:43 UTC,2018-01-13 00:57:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/835549,https://static.inaturalist.org/photos/1056505/medium.JPG?1408320537,,"",@10am thousands of toadlets and froglets hunkering in coyote footprints in mud. Many dessicated seen nearby. In annual flood area. Regular herpers have not seen any amphibians in this specific area since- as of 5-2014,3,0,false,,,,,1794,private,,true,,,Southern California Toad,Anaxyrus boreas halophilus,California Toad,Amphibia,196979
847445,2014-08-24,2014-08-24,,Pacific Time (US & Canada),38280,dominic,2014-08-25 13:16:36 UTC,2015-03-20 23:12:18 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/847445,https://static.inaturalist.org/photos/1072945/medium.jpg?1408972609,,"",Just some footprints behind my house.,0,0,false,,"Stockton,San Jouquin County, California",37.957702,-121.29078,14581,,,false,,,Coyote,Canis latrans,Coyote,Mammalia,42051
848462,2010-09-25 12:24 PM,2010-09-25,2010-09-25 19:24:00 UTC,Pacific Time (US & Canada),37802,cspnl,2014-08-26 02:31:15 UTC,2019-02-14 00:40:50 UTC,research,,http://www.inaturalist.org/observations/848462,https://static.inaturalist.org/photos/1074245/medium.JPG?1409020281,,"","Heard a noise in the palm tree and saw Mama Raccoon, who looked like she might be nursing a family hidden somewhere.  People leave food for abandoned cats, where raccoon can get that too.   Looked like she was foraging in the water.  There were footprints in the mud under the water near the observation pier.",5,0,false,,"salinas de san pedro, ca, usa",33.713877,-118.2854,15,,,false,,,Common Raccoon,Procyon lotor,Common Raccoon,Mammalia,41663
876501,2014-02-16,2014-02-16,,Buenos Aires,50445,nicoolejnik,2014-09-14 23:59:44 UTC,2017-04-10 17:32:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/876501,https://static.inaturalist.org/photos/1112385/medium.JPG?1410739191,,"",Footprints. A small population of this species remains in the area.,1,0,false,,"Reserva privada Don Felix y Sacha Juan, Merlo, San Luis",-32.330658,-65.062795,224,,,false,,,Gray Brocket,Mazama gouazoubira,Gray Brocket,Mammalia,74552
878494,2013-11-02,2013-11-02,,Buenos Aires,50445,nicoolejnik,2014-09-15 21:45:23 UTC,2019-02-22 03:16:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/878494,https://static.inaturalist.org/photos/1115278/medium.JPG?1410817528,,"",Footprints of an adult.,1,0,false,,Argentina,-25.7173907089,-54.3934820945,3499,,obscured,true,,,Tapirus terrestris,Tapirus terrestris,South American Tapir,Mammalia,43353
878495,2013-04-01,2013-04-01,,Buenos Aires,50445,nicoolejnik,2014-09-15 21:47:51 UTC,2019-02-22 03:16:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/878495,https://static.inaturalist.org/photos/1115280/medium.jpg?1410817677,,"",Footprints of an adult on the coast of the Pilcomayo river.,1,0,false,,"Formosa, AR",-25.1190440552,-58.0617905602,3309,,obscured,true,,,Tapirus terrestris,Tapirus terrestris,South American Tapir,Mammalia,43353
878496,2012-10-07,2012-10-07,,Buenos Aires,50445,nicoolejnik,2014-09-15 21:50:46 UTC,2019-02-22 03:16:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/878496,https://static.inaturalist.org/photos/1115281/medium.jpg?1410817850,,"",Footprints of an adult on a dry area.,1,0,false,,"Formosa, AR",-25.9157407352,-58.6489455576,10420,,obscured,true,,,Tapirus terrestris,Tapirus terrestris,South American Tapir,Mammalia,43353
882673,2011-01-20,2011-01-20,,Buenos Aires,50445,nicoolejnik,2014-09-18 12:46:05 UTC,2017-04-03 02:50:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/882673,https://static.inaturalist.org/photos/1121127/medium.JPG?1411044372,,"",Footprints.,1,0,false,,"Reserva natural de Pilar, Buenos Aires",-34.413203,-58.918594,54,,,false,,,White-eared Opossum,Didelphis albiventris,White-eared Opossum,Mammalia,42658
882675,2011-02-03,2011-02-03,,Buenos Aires,50445,nicoolejnik,2014-09-18 12:48:12 UTC,2017-04-03 02:50:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/882675,https://static.inaturalist.org/photos/1121129/medium.JPG?1411044498,,"",Footprints.,1,0,false,,"Reserva natural de Pilar, Buenos Aires",-34.413203,-58.918594,54,,,false,,,White-eared Opossum,Didelphis albiventris,White-eared Opossum,Mammalia,42658
904538,2014-09-26 18:31:20,2014-09-26,2014-09-26 21:31:20 UTC,Buenos Aires,50445,nicoolejnik,2014-10-01 14:39:22 UTC,2017-04-07 21:03:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/904538,https://static.inaturalist.org/photos/1152760/medium.jpg?1412174369,,"",Footprints.,1,0,false,,"Villaguay, Entre Rios",-31.860355,-59.023533,2102,,,false,,,White-eared Opossum,Didelphis albiventris,White-eared Opossum,Mammalia,42658
940067,"June 07, 2012 08:45",2012-06-07,2012-06-06 20:45:00 UTC,Auckland,1115,jon_sullivan,2012-07-04 10:02:57 UTC,2016-03-23 08:31:54 UTC,research,CC-BY,http://naturewatch.org.nz/observations/336435,https://static.inaturalist.org/photos/1179349/medium.jpg?1444458609,,"track, footprint",footprints in the snow at our front door this morning,1,0,false,,"123A Dyers Pass Road, Christchurch, Canterbury, New Zealand",-43.579636,172.633041,,,,false,,,Brushtail Possum,Trichosurus vulpecula,Common Brushtail Possum,Mammalia,42808
943766,"April 18, 2006",2006-04-18,,Auckland,57582,laura-nz,2012-09-07 10:55:34 UTC,2020-09-25 04:48:03 UTC,research,CC-BY,http://naturewatch.org.nz/observations/340872,https://static.inaturalist.org/photos/1181116/medium.jpg?1444943166,,"",Penguin and footprints.,5,0,false,,"Southland, NZ-SO, NZ",-46.6493825225,167.7909966328,3706,,obscured,true,,,Yellow-eyed Penguin,Megadyptes antipodes,Yellow-eyed Penguin,Aves,3831
944631,"July 07, 2012 12:17",2012-07-07,2012-07-07 00:17:00 UTC,Wellington,57560,steveattwood,2012-09-18 08:50:29 UTC,2020-01-16 20:57:46 UTC,research,CC-BY,http://naturewatch.org.nz/observations/341754,https://static.inaturalist.org/photos/1181517/medium.jpg?1444474725,,"West Coast, ngirungiru, miromiro, tomtit, Petroica macrocephala macrocephala, Petroica, Eopsaltriidae, Passeriformes","Photographed at Poerua River on the Hari Hari Coastal Walkway.
A small member of the Eopsaltriidae family (Australasian Robins) the ngiro ngiro (miromiro in the Noth Island) is a popular denizen of the bush for its habit, like most robins, of seeking people out. 
The bird was nicknamed torotoro (scout) by Maori for its habit of appearing from nowhere in the forest. It was the first to settle on the water troughs with snares attached to them, a scout for the pigeons coming to drink. Then there was its habit of scratching the ground over which an enemy had walked. This was a telltale sign to the warrior looking for footprints of his foe.
In the battle between the land and sea birds in ancient times the Miromiro had a special job too, as torotoro for the land birds, to keep watch on the movements of the enemy. It was considered best suited because of its keen and quick vision, its ability to move rapidly but secretly.
There are several sub-species. The North and South Island sub-species look alike except that the male in the South Island sub species is a lot more yellow in the breast, whereas his North Island cousin is white. Females of both sub species are brown where the male is black and with a creamier, brownish breast.
",2,0,false,,"Poerua River estuary, West Coast, New Zealand",-43.047,170.404729,,,open,false,,,South Island Tomtit,Petroica macrocephala macrocephala,South Island Tomtit,Aves,413508
944632,"July 07, 2012 12:17",2012-07-07,2012-07-07 00:17:00 UTC,Wellington,57560,steveattwood,2012-09-18 08:50:29 UTC,2020-01-16 20:57:45 UTC,research,CC-BY,http://naturewatch.org.nz/observations/341755,https://static.inaturalist.org/photos/1181518/medium.jpg?1444474727,,"West Coast, ngirungiru, miromiro, tomtit, Petroica macrocephala macrocephala, Petroica, Eopsaltriidae, Passeriformes","Photographed at Poerua River on the Hari Hari Coastal Walkway.
A small member of the Eopsaltriidae family (Australasian Robins) the ngiro ngiro (miromiro in the Noth Island) is a popular denizen of the bush for its habit, like most robins, of seeking people out. 
The bird was nicknamed torotoro (scout) by Maori for its habit of appearing from nowhere in the forest. It was the first to settle on the water troughs with snares attached to them, a scout for the pigeons coming to drink. Then there was its habit of scratching the ground over which an enemy had walked. This was a telltale sign to the warrior looking for footprints of his foe.
In the battle between the land and sea birds in ancient times the Miromiro had a special job too, as torotoro for the land birds, to keep watch on the movements of the enemy. It was considered best suited because of its keen and quick vision, its ability to move rapidly but secretly.
There are several sub-species. The North and South Island sub-species look alike except that the male in the South Island sub species is a lot more yellow in the breast, whereas his North Island cousin is white. Females of both sub species are brown where the male is black and with a creamier, brownish breast.
",2,0,false,,"Poerua River estuary, West Coast, New Zealand",-43.047,170.404729,,,open,false,,,South Island Tomtit,Petroica macrocephala macrocephala,South Island Tomtit,Aves,413508
944636,"July 07, 2012 12:21",2012-07-07,2012-07-07 00:21:00 UTC,Wellington,57560,steveattwood,2012-09-18 08:50:31 UTC,2020-01-16 20:57:10 UTC,research,CC-BY,http://naturewatch.org.nz/observations/341759,https://static.inaturalist.org/photos/1181522/medium.jpg?1444474749,,"West Coast, ngirungiru, miromiro, tomtit, Petroica macrocephala macrocephala, Petroica, Eopsaltriidae, Passeriformes","Photographed at Poerua River on the Hari Hari Coastal Walkway.
A small member of the Eopsaltriidae family (Australasian Robins) the ngiro ngiro (miromiro in the Noth Island) is a popular denizen of the bush for its habit, like most robins, of seeking people out. 
The bird was nicknamed torotoro (scout) by Maori for its habit of appearing from nowhere in the forest. It was the first to settle on the water troughs with snares attached to them, a scout for the pigeons coming to drink. Then there was its habit of scratching the ground over which an enemy had walked. This was a telltale sign to the warrior looking for footprints of his foe.
In the battle between the land and sea birds in ancient times the Miromiro had a special job too, as torotoro for the land birds, to keep watch on the movements of the enemy. It was considered best suited because of its keen and quick vision, its ability to move rapidly but secretly.
There are several sub-species. The North and South Island sub-species look alike except that the male in the South Island sub species is a lot more yellow in the breast, whereas his North Island cousin is white. Females of both sub species are brown where the male is black and with a creamier, brownish breast.
",2,0,false,,"Poerua River estuary, West Coast, New Zealand",-43.047,170.404729,,,open,false,,,South Island Tomtit,Petroica macrocephala macrocephala,South Island Tomtit,Aves,413508
944637,"July 07, 2012 12:20",2012-07-07,2012-07-07 00:20:00 UTC,Wellington,57560,steveattwood,2012-09-18 08:50:32 UTC,2020-01-16 20:57:09 UTC,research,CC-BY,http://naturewatch.org.nz/observations/341760,https://static.inaturalist.org/photos/1181523/medium.jpg?1444474757,,"West Coast, ngirungiru, miromiro, tomtit, Petroica macrocephala macrocephala, Petroica, Eopsaltriidae, Passeriformes","Photographed at Poerua River on the Hari Hari Coastal Walkway.
A small member of the Eopsaltriidae family (Australasian Robins) the ngiro ngiro (miromiro in the Noth Island) is a popular denizen of the bush for its habit, like most robins, of seeking people out. 
The bird was nicknamed torotoro (scout) by Maori for its habit of appearing from nowhere in the forest. It was the first to settle on the water troughs with snares attached to them, a scout for the pigeons coming to drink. Then there was its habit of scratching the ground over which an enemy had walked. This was a telltale sign to the warrior looking for footprints of his foe.
In the battle between the land and sea birds in ancient times the Miromiro had a special job too, as torotoro for the land birds, to keep watch on the movements of the enemy. It was considered best suited because of its keen and quick vision, its ability to move rapidly but secretly.
There are several sub-species. The North and South Island sub-species look alike except that the male in the South Island sub species is a lot more yellow in the breast, whereas his North Island cousin is white. Females of both sub species are brown where the male is black and with a creamier, brownish breast.
",2,0,false,,"Poerua River estuary, West Coast, New Zealand",-43.047,170.404729,,,open,false,,,South Island Tomtit,Petroica macrocephala macrocephala,South Island Tomtit,Aves,413508
944638,"July 07, 2012 12:18",2012-07-07,2012-07-07 00:18:00 UTC,Wellington,57560,steveattwood,2012-09-18 08:50:33 UTC,2020-01-16 20:57:08 UTC,research,CC-BY,http://naturewatch.org.nz/observations/341761,https://static.inaturalist.org/photos/1181524/medium.jpg?1444474761,,"West Coast, ngirungiru, miromiro, tomtit, Petroica macrocephala macrocephala, Petroica, Eopsaltriidae, Passeriformes","Photographed at Poerua River on the Hari Hari Coastal Walkway.
A small member of the Eopsaltriidae family (Australasian Robins) the ngiro ngiro (miromiro in the Noth Island) is a popular denizen of the bush for its habit, like most robins, of seeking people out. 
The bird was nicknamed torotoro (scout) by Maori for its habit of appearing from nowhere in the forest. It was the first to settle on the water troughs with snares attached to them, a scout for the pigeons coming to drink. Then there was its habit of scratching the ground over which an enemy had walked. This was a telltale sign to the warrior looking for footprints of his foe.
In the battle between the land and sea birds in ancient times the Miromiro had a special job too, as torotoro for the land birds, to keep watch on the movements of the enemy. It was considered best suited because of its keen and quick vision, its ability to move rapidly but secretly.
There are several sub-species. The North and South Island sub-species look alike except that the male in the South Island sub species is a lot more yellow in the breast, whereas his North Island cousin is white. Females of both sub species are brown where the male is black and with a creamier, brownish breast.
",2,0,false,,"Poerua River estuary, West Coast, New Zealand",-43.047,170.404729,,,open,false,,,South Island Tomtit,Petroica macrocephala macrocephala,South Island Tomtit,Aves,413508
